0.16	0.395	0.182	0.105	0.016	0.083	0.083	0.083	0.083	0.081	0.102	0	0	0	0	0
0.411	0.451	0.03	0.22	0.05	0.05	0.05	0.05	0.07	0.073	0	0	0	0	0	0
0.424	0.857	0.082	0.77	0.05	0.05	0.05	0.05	0.021	0	0	0	0	0	0	0
0.087	0.02	0.625	0.028	0.05	0.05	0.05	0.05	0	0	0	0	0	0	0	0
0.14	0.1	0.1	0.1	0.243	0.43	0.571	0.571	0.104	0.101	0.128	0.05	0.032	0	0	0
0.25	0.05	0.05	0.05	0.437	0.451	0.03	0.22	0.088	0.091	0.03	0.03	0	0	0	0
0.25	0.05	0.05	0.05	0.351	0.857	0.082	0.77	0.026	0.03	0	0.03	0	0	0	0
0.25	0.05	0.05	0.05	0.351	0.02	0.625	0.028	0	0.03	0.03	0.03	0	0	0	0
0.021	0.05	0.05	0.05	0.007	0.05	0.05	0.05	0.116	0.083	0.063	0.105	0.047	0.03	0.03	0.03
0	0.102	0	0	0	0.034	0.03	0.03	0.455	0.361	0.03	0.22	0.03	0.01	0.01	0.01
0.169	0	0.017	0	0.056	0.03	0.006	0.03	0.317	0.857	0.04	0.77	0.03	0.01	0.01	0.01
0	0	0	0	0.03	0.03	0.03	0.03	0.125	0.02	0.625	0.02	0.03	0.01	0.01	0.01
0	0	0	0	0	0	0	0	0.012	0.01	0.01	0.01	0.026	0.145	0.1	0.1
0.1	0	0	0	0.1	0	0	0	0.1	0.03	0.03	0.03	0.1	0.08	0.1	0.08
0	0	0	0	0	0	0	0	0.03	0.03	0.03	0.03	0.1	0.05	0.05	0.05
0	0	0	0	0	0	0	0	0.03	0.03	0.03	0.03	0.1	0.05	0.05	0.03

